seed,alpha,jaccard_mean,jaccard_median,jaccard_p10,spearman_mean,kendall_mean,n_downweighted,min_weight,mean_weight
2,0.059,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
2,0.083,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
2,0.107,0.9874498670333098,1.0,0.9459459459459459,0.9999575655122372,0.997597736702006,2,0.9446830007577671,1.0000000000000004
2,0.132,0.9845986113072299,1.0,0.9459459459459459,0.9998832671748935,0.9957506354807888,2,0.8617424242424242,0.9999999999999997
2,0.156,0.9762502223501676,1.0,0.9459459459459459,0.9997963157653058,0.9939248094170348,4,0.8078901094696056,1.0000000000000002
2,0.181,0.9672568883083804,1.0,0.8947368421052632,0.9996896776176091,0.9915010529165341,9,0.7728239248006108,1.0
2,0.205,0.9631784459511779,0.9459459459459459,0.8947368421052632,0.9996233998111353,0.9904760742874209,11,0.7536960496215483,0.9999999999999998
2,0.229,0.9626357926611592,0.9459459459459459,0.8947368421052632,0.9996558591912429,0.9905601304604963,12,0.7718170091930898,1.0000000000000002
2,0.254,0.9606337215665501,0.9459459459459459,0.8947368421052632,0.9996972897149153,0.9905316019133205,16,0.7933184933798504,0.9999999999999994
2,0.278,0.9573982845341303,0.9459459459459459,0.8947368421052632,0.9996929698092569,0.9899069808331696,15,0.8074167457488358,1.0000000000000007
2,0.302,0.9567210102688587,0.9459459459459459,0.8947368421052632,0.9997197681622518,0.990217938863347,16,0.8245487317912495,1.0
2,0.327,0.9583240158469538,0.9459459459459459,0.8947368421052632,0.9997398365452366,0.9906653741717081,16,0.8302615951458138,0.999999999999999
2,0.351,0.9591697266355745,0.9459459459459459,0.8947368421052632,0.999745201047195,0.9908547277550814,16,0.8287243549709442,0.9999999999999981
2,0.375,0.9597671502260867,0.9459459459459459,0.8947368421052632,0.9997477259952704,0.9909973029371282,14,0.8262040207428308,0.9999999999999994
3,0.01,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
3,0.034,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
3,0.059,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
3,0.083,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
3,0.107,0.9919551742350559,1.0,0.9459459459459459,0.9999753100084137,0.998342099099996,2,0.9539888843611241,1.0000000000000004
3,0.132,0.9810070899084411,1.0,0.9459459459459459,0.9998758189617503,0.9954701715563257,2,0.8692858298905998,0.9999999999999998
3,0.156,0.9750489531959966,1.0,0.9459459459459459,0.9997943823343797,0.9937593675971389,4,0.8144489933259212,1.0000000000000004
3,0.181,0.9638516887021576,0.9459459459459459,0.8947368421052632,0.9996460914567191,0.9907262203003236,9,0.7630772804499114,1.0000000000000002
3,0.205,0.9612104666133778,0.9459459459459459,0.8947368421052632,0.9996267494485416,0.9901801965276188,12,0.7674161645514177,1.0
3,0.229,0.9605410313067343,0.9459459459459459,0.8947368421052632,0.9996034913092336,0.98988027279967,13,0.7598273020503306,1.0000000000000002
3,0.254,0.9602572772003997,0.9459459459459459,0.8947368421052632,0.9996305531552928,0.9900468880688106,11,0.7668110907312924,0.9999999999999997
3,0.278,0.9578507017613972,0.9459459459459459,0.8947368421052632,0.9996459809128195,0.9896463355978989,13,0.7775375586235923,0.9999999999999992
3,0.302,0.9564640020234567,0.9459459459459459,0.8947368421052632,0.9996728420964166,0.9897609175037305,15,0.7928745982564456,1.0000000000000009
3,0.327,0.9579273805667227,0.9459459459459459,0.8947368421052632,0.9997061251617453,0.9902839209942261,15,0.8073726627819178,1.0000000000000007
3,0.351,0.9588681537120037,0.9459459459459459,0.8947368421052632,0.9997155222673776,0.9905379882825585,14,0.8090468129796988,0.9999999999999983
3,0.375,0.9589673418575873,0.9459459459459459,0.8947368421052632,0.9997118883709292,0.9905959343738788,15,0.8036183186947703,0.9999999999999983
4,0.01,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
