topic_a,topic_b,n_pairs,mean,median,std,min,max
Economy & labour,Federal budget,40,0.4512753789769547,0.45352297722979906,0.020526647396388768,0.3996551457627788,0.48664520834728564
Foreign trade & foreign policy,Welfare state & family,30,0.45227339532871674,0.45922892948694716,0.028852504710474854,0.3940307161489569,0.49772867247692254
Energy & transport,Health,35,0.4523057539053332,0.4599904822318571,0.032750876997909836,0.358067663905601,0.5104882975030007
Education,Society & ethics,12,0.45265162887145793,0.4450430851611323,0.02820897732304847,0.42209308779944077,0.5207417089614461
Finances & taxes,Security & military,20,0.4532345326987846,0.45642435615266286,0.03449526925117436,0.38608846453171586,0.5137209560602872
Society & ethics,Values,28,0.4537945705814848,0.45730932689641135,0.016235066924274975,0.41607121199199343,0.47837784009598255
Economy & labour,Education,15,0.45403636547394194,0.4566427030100013,0.032488671330917915,0.4035831361704903,0.5102155899190176
Federal budget,Nature conservation,48,0.4543563732334451,0.4614225510126737,0.03719767506426752,0.30838952368718253,0.5096330141359466
Energy & transport,Finances & taxes,28,0.4546222236398059,0.45575457127538455,0.03256090231801509,0.3669335318928928,0.5102791373845562
Education,Security & military,15,0.4549662237149473,0.4508956790387933,0.03996294342898379,0.4067341780255216,0.539127954019882
Security & military,Values,35,0.45536736315214527,0.4572513409027077,0.03475702230491441,0.36555148958871353,0.5230398233179078
Finances & taxes,Society & ethics,16,0.45568371019430265,0.4641396452229878,0.045212754984749665,0.346049507017078,0.5133241121694182
"Democracy, Media & Digitalization",Society & ethics,24,0.45575888877633064,0.4634909688281529,0.024526264115320807,0.39194798545820914,0.4833542928864729
Energy & transport,Security & military,35,0.4568208389872998,0.4576615120379144,0.043022122128905056,0.3500510042356774,0.5190283844155736
Security & military,Welfare state & family,30,0.45703258340291286,0.46270237028043504,0.032734770705633756,0.3792369225497272,0.5149348871493754
Federal budget,Immigration & integration,32,0.4573228504939395,0.4584954221036107,0.026439288281609404,0.40124108776997347,0.5051965089443277
Education,Energy & transport,21,0.45904722165817885,0.4608839618172626,0.03486421865666179,0.37536079216744234,0.5216143156886703
Foreign trade & foreign policy,Society & ethics,20,0.4608718975340393,0.4650453082635332,0.021681134574628842,0.4153048034827401,0.4885748628943385
Health,Nature conservation,30,0.46141370566250944,0.46441390115955766,0.029500699441305685,0.39759843027468933,0.5038397693397525
Security & military,Society & ethics,20,0.4621454526299895,0.46232827517273567,0.025878088005695455,0.4123398556657294,0.508619986939962
Nature conservation,Security & military,30,0.4630807109873141,0.46628029880739685,0.029874493279614566,0.388727078758676,0.5141418395805533
Economy & labour,Nature conservation,30,0.4631447291277952,0.46815467507505426,0.03018630469571592,0.3910567377296014,0.5016815994845262
Economy & labour,Society & ethics,20,0.46420750699729696,0.4754413606838782,0.04340260476992647,0.35325604598155425,0.5094208117519787
Economy & labour,Security & military,25,0.4643949574290071,0.47292528298660863,0.029478288647853915,0.40220580467652467,0.5074519124291873
Nature conservation,Welfare state & family,36,0.46759991420302593,0.47624258979457246,0.024406367176810585,0.3929153436427464,0.4949586151624919
Nature conservation,Society & ethics,24,0.46961445755140935,0.46907530978798156,0.022883703204685437,0.40448391775595427,0.4991082345242337
Immigration & integration,Nature conservation,24,0.4701713973164014,0.4770899942810177,0.034960546520490035,0.3928716520627403,0.5164333134425745
Finances & taxes,Nature conservation,24,0.47038401394385065,0.47840183982930823,0.03490447424642944,0.3850779548593564,0.5186398538598628
Federal budget,Society & ethics,32,0.47281994105898667,0.478238557939343,0.025284942862205628,0.4174256405882756,0.5104918002928144
Energy & transport,Society & ethics,28,0.4729455529697067,0.4764686240940549,0.024600136937586427,0.3959948896020533,0.5207438837169275
Education,Nature conservation,18,0.4761163651016143,0.4795178856971884,0.029226224515324167,0.42427257667044094,0.525609080904778
