target_party,observed_party,mini_baseline,aug_baseline,delta_attack,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,crw_drift_ANSWER-CORR_α1.0,delta_crw_ANSWER-CORR_α1.0,reduction_ANSWER-CORR_α1.0,crw_drift_ANSWER-CORR_α1.1,delta_crw_ANSWER-CORR_α1.1,reduction_ANSWER-CORR_α1.1,crw_drift_ANSWER-CORR_α1.5,delta_crw_ANSWER-CORR_α1.5,reduction_ANSWER-CORR_α1.5,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
Green,FDP,0.0442098623180326,0.0439344717034514,-0.00027539061458120573,-0.0002080432730007034,-0.0004600956999055994,-67.07021791765848,-7.868303273740607e-05,-0.0007334858984003947,-166.34382566589187,-4.800998607699947e-05,-0.0005021044377232012,-82.32445520584118,-0.00011135649548429938,-0.0005214417932264057,-89.34624697336795,-0.000101354415051505,-0.0006674721675441961,-142.37288135590234,-0.0003727441974597026,-0.0007014792410156012,-154.72154963681697
Green,SVP,0.0487107985127603,0.0475072148340217,-0.0012035836787386012,0.00014736398504230225,-0.0011115645387576034,7.645429362870482,5.5344845061103265e-05,-0.0009128565408271991,24.155124653741943,0.00036140850630279886,-0.0013976240391336964,-16.121883656519543,0.0004894351358417023,-0.0014396327769511039,-19.61218836565568,0.0003414043454373003,-0.001330943502915398,-10.58171745152563,0.0004754322232360039,-0.0010155445666034033,15.623268698049287
GLP,SP,0.1250273390198449,0.1150212577549472,-0.010006081264897687,-0.001619003419376694,-0.008491099482021702,15.140610422490663,-0.00118824715540769,-0.008980534617862607,10.249233639874566,-0.0007508228378161896,-0.009620000960195302,3.8584566173452184,-0.0010235462309484966,-0.010098767210241694,-0.9262961482149557,0.0006641381407334057,-0.011473719867060403,-14.66746634680387,-0.0021897888094041945,-0.009439296707043701,5.664400906300071
GLP,Green,0.1261515728604857,0.1516235376958248,0.02547196483533909,0.0004114189084651887,0.024771819205048118,2.748691099477374,-0.0004260886264352004,0.025650668672403787,-0.7015706806283273,0.0002600540912509053,0.02536794319883809,0.40837696335338514,0.0005047716591707885,0.0250805500877386,1.536649214659136,-0.0005201081825020881,0.02549797024446418,-0.10209424083771346,-0.00016670134054588837,0.02525325267654338,0.8586387434559972
GLP,GLP,0.1451068488912262,0.1783517638335196,0.033244914942293424,-0.0008228378169325978,0.03165991859638781,4.767635437349904,-0.0002807250574786979,0.030617701815298104,7.902601440116907,0.00017803703170241048,0.03313155803072329,0.34097518903838386,0.00017136897808081586,0.033938392518963106,-2.0859658623684885,-0.00024938520545589316,0.03479523740936791,-4.663337144238566,9.535316679210037e-05,0.03241874309855122,2.4851074071817414
GLP,Centre,0.1809242989208312,0.1694905873754979,-0.011433711545333292,0.0007774950523037893,-0.011086972756998992,3.0326004548874796,0.0006581368924735986,-0.01113698315916331,2.595206158503205,-0.00010468844186201087,-0.011237670768852598,1.714585641796329,-0.00012802662953900756,-0.011201663279294088,2.0295095351947623,0.00015469884402630196,-0.011244338822474609,1.6562664022775397,0.0003454051776095868,-0.011027627079765484,3.5516416865838507
GLP,FDP,0.0442098623180326,0.0486107777084341,0.004400915390401494,-0.0002080432730007034,0.004509604664437297,-2.4696969696999194,-7.868303273740607e-05,0.004202207392471305,4.515151515150151,-4.800998607699947e-05,0.004220211137250095,4.10606060606209,-0.00011135649548429938,0.004222878358698896,4.045454545454364,-0.000101354415051505,0.004002165783816604,9.060606060606691,-0.0003727441974597026,0.004284891257381802,2.636363636364003
GLP,SVP,0.0487107985127603,0.0490955452067394,0.00038474669397910166,0.00014736398504230225,0.0005147737396045959,-33.79549393413552,5.5344845061103265e-05,0.000714815348259297,-85.78856152513781,0.00036140850630279886,0.00013669509924719991,64.47140381286167,0.0004894351358417023,7.668261665089854e-05,80.06932409013403,0.0003414043454373003,0.00016270050837240146,57.71230502600786,0.0004754322232360039,0.0006034588527747964,-56.84575389946678
Centre,SP,0.1250273390198449,0.1256554696710201,0.0006281306511752016,-0.001619003419376694,0.0017250254719638064,-174.6284501060995,-0.00118824715540769,0.0019370695771379065,-208.3864118895877,-0.0007508228378161896,0.0010795578813714013,-71.86836518033334,-0.0010235462309484966,0.0009521980571952082,-51.592356687847094,0.0006641381407334057,-0.00032006657384800463,49.04458598713886,-0.0021897888094041945,0.001122900229913501,-78.768577494604
Centre,Green,0.1261515728604857,0.1295342764628326,0.0033827036023469093,0.0004114189084651887,0.0029566149759129023,12.596096984033366,-0.0004260886264352004,0.0037967897322631894,-12.241277350725866,0.0002600540912509053,0.003218669483250086,4.849201655829871,0.0005047716591707885,0.0028145854337686127,16.794795978699938,-0.0005201081825020881,0.003459386218997884,-2.26690321309182,-0.00016670134054588837,0.0033273587572862917,1.6361127537813047
Centre,GLP,0.1451068488912262,0.1531125140695785,0.0080056651783523,-0.0008228378169325978,0.0078416310592557,2.0489755122429676,-0.0002807250574786979,0.007493558660197408,6.396801599193191,0.00017803703170241048,0.007862968830846112,1.7824421122687673,0.00017136897808081586,0.008283723014382488,-3.4732633683215886,-0.00024938520545589316,0.009545318759630605,-19.232050641358335,9.535316679210037e-05,0.007968990883433308,0.4581042811803049
Centre,Centre,0.1809242989208312,0.198351923866817,0.017427624945985792,0.0007774950523037893,0.017174238908355816,1.4539332721200227,0.0006581368924735986,0.01701553923215579,2.364554637291061,-0.00010468844186201087,0.01751230922698091,-0.48591980409025126,-0.00012802662953900756,0.017588991843632718,-0.9259259259196684,0.00015469884402630196,0.01800707880572039,-3.3249158249074373,0.0003454051776095868,0.017478968958872104,-0.29461279460307743
Centre,FDP,0.0442098623180326,0.0475592256522729,0.003349363334240296,-0.0002080432730007034,0.0033913720720575996,-1.2542305395133235,-7.868303273740607e-05,0.003019961485322402,9.834760103523054,-4.800998607699947e-05,0.0031679922757267,5.415090583319326,-0.00011135649548429938,0.0031513221416720957,5.912801114875766,-0.000101354415051505,0.0029199406809949993,12.821023292855106,-0.0003727441974597026,0.0031339852022553988,6.4304200676917445
Centre,SVP,0.0487107985127603,0.0506978784920633,0.0019870799793030025,0.00014736398504230225,0.001984412757854201,0.1342281879231244,5.5344845061103265e-05,0.002024421079585101,-1.8791946308671648,0.00036140850630279886,0.0018157110012221034,8.624161073829006,0.0004894351358417023,0.0017523644918147965,11.812080536916081,0.0003414043454373003,0.001823045860205999,8.255033557055958,0.0004754322232360039,0.0021791199236111947,-9.664429530186958
FDP,SP,0.1250273390198449,0.1346226681816416,0.0095953291617967,-0.001619003419376694,0.010902934477035012,-13.627519110490471,-0.00118824715540769,0.011161654957561606,-16.323835997217785,-0.0007508228378161896,0.010066093747495897,-4.906184850578343,-0.0010235462309484966,0.009707352462642399,-1.167477414862561,0.0006641381407334057,0.008439755469135002,12.043085476030935,-0.0021897888094041945,0.010043422365182006,-4.6699096594764455
