target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
Centre,32245;32228;32262;32236;32239,GLP,0.1619603544203661,0.1610321613562088,-0.0009281930641573122,0.1486155787070294,0.1509660676087194,-0.013344775713336698,-0.010066093747489402,24.56903013042474,0.1556823819354257,0.1562098249769115,-0.006277972484940414,-0.004822336379297298,23.186404673401995
Centre,32245;32228;32262;32236;32239,Centre,0.1745269682760579,0.1757205498743627,0.0011935815983047937,0.2221162001696141,0.2117693813646399,0.04758923189355618,0.03604883149027721,24.250024520445347,0.1927880999247704,0.1859060017816908,0.018261131648712486,0.010185451907328114,44.22332578689752
Centre,32245;32228;32262;32236;32239,FDP,0.0432396605160585,0.0432129883015713,-2.6672214487197254e-05,0.045180730925371,0.0448893369820976,0.0019410704093124967,0.0016763486805262962,13.63792511163785,0.0442011938483253,0.0437737716111666,0.0009615333322667979,0.000560783309595296,41.67822468793055
Centre,32245;32228;32262;32236;32239,SVP,0.0466470359168066,0.0468524119683587,0.00020537605155210303,0.0498156949978961,0.0490888771531177,0.0031686590810895005,0.0022364651847589997,29.419191919188048,0.0478919615280007,0.0477272606035416,0.0012449256111941032,0.0008748486351828968,29.726834493848774
FDP,32230;32249;32261;32271;32244,SP,0.1320314625442013,0.1321054779394033,7.401539520199285e-05,0.1197415729138314,0.1233909986610495,-0.012289889630369907,-0.00871447927835381,29.092290163296475,0.1278392572321644,0.1304804732717658,-0.004192205312036901,-0.001625004667637514,61.2374741530023
FDP,32230;32249;32261;32271;32244,Green,0.1353834930998901,0.1347600300862486,-0.0006234630136414954,0.1299343596801419,0.1323235232928386,-0.005449133419748203,-0.0024365067934099816,55.286343612365265,0.1347726993881307,0.1348373795082628,-0.0006107937117593998,7.734942201420569e-05,87.33624454131991
FDP,32230;32249;32261;32271;32244,GLP,0.1619603544203661,0.1610321613562088,-0.0009281930641573122,0.1536906343185959,0.1541760686222626,-0.008269720101770212,-0.00685609273394619,17.094017094017744,0.1572627106437963,0.1592044478584693,-0.00469764377656981,-0.001827713497739497,61.09297374025064
FDP,32230;32249;32261;32271;32244,Centre,0.1745269682760579,0.1757205498743627,0.0011935815983047937,0.1657298051327982,0.1676842116493503,-0.008797163143259706,-0.008036338225012402,8.648525733323941,0.1700867113692906,0.1737268018414399,-0.004440256906767304,-0.001993748032922793,55.09836311758982
FDP,32230;32249;32261;32271;32244,FDP,0.0432396605160585,0.0432129883015713,-2.6672214487197254e-05,0.0576493243928148,0.0537305092792702,0.014409663876756303,0.010517520977698896,27.010643220732433,0.0490295314758856,0.0453154256085315,0.005789870959827102,0.002102437306960199,63.687665553379055
FDP,32230;32249;32261;32271;32244,SVP,0.0466470359168066,0.0468524119683587,0.00020537605155210303,0.0537598487152041,0.0519428041032574,0.007112812798397504,0.0050903921348986955,28.433486453551172,0.0495029632830327,0.0479052976352444,0.0028559273662260992,0.001052885666885696,63.13331776791621
SVP,32230;32227;32233;32234;32249,SP,0.1320314625442013,0.1321054779394033,7.401539520199285e-05,0.1303051034615152,0.1312973098404391,-0.0017263590826861186,-0.000808168098964196,53.18655851674083,0.1316693872325367,0.1318874325859698,-0.0003620753116646003,-0.00021804535343350473,39.77900552482689
SVP,32230;32227;32233;32234;32249,Green,0.1353834930998901,0.1347600300862486,-0.0006234630136414954,0.129071513541475,0.131097268231784,-0.006311979558415087,-0.003662761854464597,41.97126558210367,0.1345726577794744,0.1346213345709148,-0.000810835320415676,-0.00013869551533379765,82.89473684216233
SVP,32230;32227;32233;32234;32249,GLP,0.1619603544203661,0.1610321613562088,-0.0009281930641573122,0.1642875051343816,0.161869002085747,0.0023271507140154857,0.000836840729538213,64.0401146131937,0.1626444967219633,0.161143517851694,0.0006841423015971904,0.00011135649548521531,83.72319688093489
SVP,32230;32227;32233;32234;32249,Centre,0.1745269682760579,0.1757205498743627,0.0011935815983047937,0.1661098841892368,0.1677088834477495,-0.008417084086821097,-0.00801166642661319,4.816604610647568,0.1704994638884786,0.1739321778929909,-0.004027504387579317,-0.0017883719813718002,55.59602649007467
SVP,32230;32227;32233;32234;32249,FDP,0.0432396605160585,0.0432129883015713,-2.6672214487197254e-05,0.0559763097390986,0.0510032753479449,0.012736649223040096,0.007790287046373599,38.835663054288425,0.0476499111815309,0.0444225732285696,0.004410250665472397,0.0012095849269982972,72.57332930148236
SVP,32230;32227;32233;32234;32249,SVP,0.0466470359168066,0.0468524119683587,0.00020537605155210303,0.0603152122308149,0.0568911666960099,0.013668176314008303,0.0100387547276512,26.553810127817602,0.0513580158006231,0.0486394503390066,0.004710979883816503,0.001787038370647899,62.066525123852436
