model,model_display,clone_type,clone_type_display,alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank,avg_composite_rank,overall_rank,ordering_accuracy,negation_invariance,topic_coherence
qwen3,Qwen3,negation_hard,Negation (Hard),0.7,0.4869287424604141,0.4693877551020408,0.3090909090909091,0.9213804657424598,0.797083754374274,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),0.8,0.48312532161325,0.44,0.3090909090909091,0.9197206809708538,0.7949172798113645,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),0.9,0.4796001021843571,0.44,0.3090909090909091,0.9181104979824302,0.7928455275405661,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.0,0.4754122374062525,0.44,0.3090909090909091,0.9162121508135443,0.7901391249473367,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.1,0.4795744856359593,0.44,0.3090909090909091,0.9186491672799932,0.7935052194750962,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.2,0.4771658753568075,0.44,0.3090909090909091,0.9174952307990116,0.7920127891190085,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.3,0.4751187592901982,0.44,0.2857142857142857,0.916514274647864,0.7907569605279592,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.4,0.4733300511152147,0.44,0.2857142857142857,0.915673596061656,0.7896955399475981,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.5,0.4718288418989838,0.44,0.2857142857142857,0.9149415889423334,0.7887662935622863,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),1.8,0.468262022480803,0.44,0.2857142857142857,0.9132297778823304,0.78662720135541,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
