model,clone_type,alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
e5_instruct,negation_easy,1.8,0.4812116720791529,0.4693877551020408,0.3090909090909091,0.9176680710472636,0.7931836765814234
e5_instruct,negation_easy,2.1,0.4751278582944637,0.44,0.3090909090909091,0.9148100513927152,0.7892412533537984
e5_instruct,negation_easy,2.4,0.4706976610037499,0.44,0.2857142857142857,0.9126597992508878,0.7863095540434899
e5_instruct,negation_easy,2.7,0.4671809887432016,0.44,0.2857142857142857,0.9109822084693728,0.784045451659615
e5_instruct,negation_easy,3.0,0.4644041482634709,0.44,0.2857142857142857,0.909641043567336,0.7822484632588538
gte,negation_easy,0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
gte,negation_easy,0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
gte,negation_easy,0.2,0.4422708355567593,0.4117647058823529,0.2631578947368421,0.8978418498861369,0.7668448767874284
gte,negation_easy,0.3,0.4498061304325247,0.4117647058823529,0.2857142857142857,0.900913889293857,0.7706079644636645
gte,negation_easy,0.4,0.4701105686845081,0.44,0.2857142857142857,0.909349364285896,0.7816728498442947
gte,negation_easy,0.5,0.5064037858989503,0.4693877551020408,0.3333333333333333,0.926360370716363,0.8056806494699521
gte,negation_easy,0.6,0.5543077488613597,0.5319148936170213,0.3846153846153846,0.9438147552272664,0.8330115367312303
gte,negation_easy,0.7,0.59027811044548,0.5652173913043478,0.4117647058823529,0.9550233501538437,0.8522185310032911
gte,negation_easy,0.8,0.6036820712990547,0.6,0.44,0.9595638532921028,0.8603010989285625
gte,negation_easy,0.9,0.59954631615105,0.6,0.44,0.9589970783285808,0.8588628257458917
gte,negation_easy,1.0,0.5812608679738355,0.5652173913043478,0.4117647058823529,0.9540977418951638,0.849831242419949
gte,negation_easy,1.1,0.5710475047157492,0.5652173913043478,0.4117647058823529,0.9515492228990892,0.8447598075090774
gte,negation_easy,1.2,0.5584662482981327,0.5319148936170213,0.3846153846153846,0.9471973922759768,0.8374264145271221
gte,negation_easy,1.3,0.5478451179498146,0.5319148936170213,0.3846153846153846,0.9436363013079356,0.8315834531871475
gte,negation_easy,1.4,0.5388949300387873,0.5319148936170213,0.3584905660377358,0.9405348078981006,0.826622682444268
gte,negation_easy,1.5,0.5314188973596442,0.5,0.3584905660377358,0.9378154390308469,0.8223615214577196
gte,negation_easy,1.8,0.5141845290431641,0.5,0.3333333333333333,0.9313674204757644,0.8125462967847268
gte,negation_easy,2.1,0.5024219598554126,0.4693877551020408,0.3333333333333333,0.9266752373368256,0.805633181575734
gte,negation_easy,2.4,0.4939621745977219,0.4693877551020408,0.3090909090909091,0.9231122278989304,0.8005038348789926
gte,negation_easy,2.7,0.4875311225729665,0.4693877551020408,0.3090909090909091,0.9203286857237712,0.796578352112738
gte,negation_easy,3.0,0.4824604582183535,0.4693877551020408,0.3090909090909091,0.9180852255915868,0.7934533110933268
jina_v3,negation_easy,0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
jina_v3,negation_easy,0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
jina_v3,negation_easy,0.2,0.4620330168636288,0.44,0.2857142857142857,0.9092661319166102,0.7801561252040171
jina_v3,negation_easy,0.3,0.5146636389659016,0.5,0.3333333333333333,0.9317011786809608,0.8116512993128454
jina_v3,negation_easy,0.4,0.5869337039580852,0.5652173913043478,0.4117647058823529,0.9557607931034348,0.8518433531489384
jina_v3,negation_easy,0.5,0.6345486133265191,0.6363636363636364,0.4693877551020408,0.968102478870424,0.8760349608561397
jina_v3,negation_easy,0.6,0.6565528978404851,0.6363636363636364,0.5,0.9731235000110168,0.8873294960277264
jina_v3,negation_easy,0.7,0.6459340142369098,0.6363636363636364,0.4693877551020408,0.971055848301568,0.8831671302840122
jina_v3,negation_easy,0.8,0.6149097241337794,0.6,0.44,0.9639134442282004,0.8682110153168531
jina_v3,negation_easy,0.9,0.5969373066898572,0.6,0.44,0.9602712181223916,0.8591866137095496
jina_v3,negation_easy,1.0,0.5661413760903954,0.5652173913043478,0.3846153846153846,0.9509865872697976,0.8410011299116901
jina_v3,negation_easy,1.1,0.5528354273237567,0.5319148936170213,0.3846153846153846,0.9468587844535876,0.8341545757221238
jina_v3,negation_easy,1.2,0.5420331223877807,0.5319148936170213,0.3584905660377358,0.9432619716239952,0.828397293126063
jina_v3,negation_easy,1.3,0.5333176771703568,0.5,0.3584905660377358,0.9401186103168426,0.8235089665334829
jina_v3,negation_easy,1.4,0.5257954101972581,0.5,0.3584905660377358,0.937355649554906,0.8192971323659989
jina_v3,negation_easy,1.5,0.5194740399948519,0.5,0.3584905660377358,0.934917078452276,0.8156507472999427
jina_v3,negation_easy,1.8,0.5049117882150737,0.4693877551020408,0.3333333333333333,0.9290680207969896,0.8071436162439274
jina_v3,negation_easy,2.1,0.4948302025319763,0.4693877551020408,0.3333333333333333,0.9247728294597488,0.8011039538047603
jina_v3,negation_easy,2.4,0.4876087440971222,0.4693877551020408,0.3090909090909091,0.9214953224396866,0.7966118398101049
jina_v3,negation_easy,2.7,0.4820817592314896,0.4693877551020408,0.3090909090909091,0.9189094633329528,0.7931409261208827
jina_v3,negation_easy,3.0,0.477688958694161,0.44,0.3090909090909091,0.9168221506723282,0.7903643961574144
nomic_v2,negation_easy,0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
nomic_v2,negation_easy,0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
nomic_v2,negation_easy,0.2,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
nomic_v2,negation_easy,0.3,0.442993260189804,0.4117647058823529,0.2631578947368421,0.898021191168075,0.7670784259725721
nomic_v2,negation_easy,0.4,0.4499211838973032,0.4117647058823529,0.2857142857142857,0.9011123782752168,0.7708289334323228
nomic_v2,negation_easy,0.5,0.4609517718768308,0.44,0.2857142857142857,0.9073818129955256,0.7783133809643888
nomic_v2,negation_easy,0.6,0.4807318580695963,0.44,0.3090909090909091,0.9165254838624508,0.7908170818010936
nomic_v2,negation_easy,0.7,0.5077788175580623,0.4693877551020408,0.3333333333333333,0.9268990376968546,0.805897385274871
nomic_v2,negation_easy,0.8,0.5421438190499486,0.5319148936170213,0.3584905660377358,0.9398146316337912,0.8259816135254789
nomic_v2,negation_easy,0.9,0.5707772486864929,0.5652173913043478,0.3846153846153846,0.949223991917074,0.8416155261318735
nomic_v2,negation_easy,1.0,0.5899028552061613,0.5652173913043478,0.4117647058823529,0.9554297582961926,0.8523645979815173
nomic_v2,negation_easy,1.1,0.5901272209276228,0.5652173913043478,0.4117647058823529,0.9556984642036906,0.8529875563846723
nomic_v2,negation_easy,1.2,0.5759624597682468,0.5652173913043478,0.4117647058823529,0.9517549969103316,0.8459303941522658
nomic_v2,negation_easy,1.3,0.5648074049420395,0.5319148936170213,0.3846153846153846,0.948863088626038,0.8405011448470834
nomic_v2,negation_easy,1.4,0.549506201331647,0.5319148936170213,0.3846153846153846,0.9450269380483656,0.8326063974089906
nomic_v2,negation_easy,1.5,0.540983753484994,0.5319148936170213,0.3584905660377358,0.9421539343113468,0.8280148779096838
nomic_v2,negation_easy,1.8,0.5218855647553502,0.5,0.3584905660377358,0.9352282700507132,0.8173526587614238
nomic_v2,negation_easy,2.1,0.5091850886501098,0.5,0.3333333333333333,0.930111569091187,0.809796148776357
nomic_v2,negation_easy,2.4,0.4996293197161053,0.4693877551020408,0.3333333333333333,0.9261948254201048,0.8041808374239651
nomic_v2,negation_easy,2.7,0.4925321627050534,0.4693877551020408,0.3090909090909091,0.9231060558460756,0.7998364000717922
nomic_v2,negation_easy,3.0,0.4868691821285378,0.4693877551020408,0.3090909090909091,0.9206124621185195,0.79638021508737
qwen3,negation_easy,0.01,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
qwen3,negation_easy,0.1,0.4411658363273562,0.4117647058823529,0.2631578947368421,0.8974793742149725,0.7663788949157795
qwen3,negation_easy,0.2,0.4466817317011102,0.4117647058823529,0.2631578947368421,0.900147266121206,0.7698049870848729
qwen3,negation_easy,0.3,0.4908857144556721,0.4693877551020408,0.3090909090909091,0.9231553545608188,0.8005427320576478
qwen3,negation_easy,0.4,0.5602240019396468,0.5319148936170213,0.3846153846153846,0.9484300722568204,0.840576075067684
qwen3,negation_easy,0.5,0.6120604060006191,0.6,0.44,0.9632499863485224,0.8674889183702261
qwen3,negation_easy,0.6,0.6481666568062852,0.6363636363636364,0.4693877551020408,0.9712652607307062,0.8839637384465479
qwen3,negation_easy,0.7,0.6485483316000789,0.6363636363636364,0.5,0.9715998461707094,0.8839977441811283
qwen3,negation_easy,0.8,0.6186145772814335,0.6,0.44,0.964659681761422,0.869656103407513
qwen3,negation_easy,0.9,0.5933379467754849,0.5652173913043478,0.4117647058823529,0.958050443823052,0.8570324045649729
