target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
Green,32217;32240;32251;32221;32266,FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.0374164492881217,0.0388120729111687,-0.005823211227936803,-0.004341569713168299,25.44371922592027,0.041653330559427,0.0423954849275358,-0.0015863299566315006,-0.0007581576968011955,52.206809583858025
Green,32217;32240;32251;32221;32266,SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.0429182603314859,0.0443678951888695,-0.0037287755853206983,-0.002705896159733802,27.432045779685144,0.0453434314337414,0.0464249897312002,-0.0013036044830651988,-0.0006488016174031053,50.23017902810818
GLP,32222;32242;32233;32214;32237,SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.1180125466096945,0.1192574722208879,-0.014018915934506812,-0.012173198691988019,13.165905631659147,0.1257521564485364,0.1289048122009317,-0.006279306095664905,-0.0025258587119442177,59.77487522565566
GLP,32222;32242;32233;32214;32237,Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.1417601527784309,0.1407966190300776,0.006376659678540814,0.0057265244504143,10.195545330957446,0.1385374824630075,0.1368337947626348,0.003153989363117421,0.001763700182971506,44.080338266320126
GLP,32222;32242;32233;32214;32237,GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.2035936808189088,0.1937556345052808,0.0416333263985427,0.0324414144808689,22.078254880915647,0.1794099839433006,0.1697079659235563,0.017449629522934496,0.008393745899144406,51.89728304482173
GLP,32222;32242;32233;32214;32237,Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.1668727095235754,0.1673181355055105,-0.00765425875248249,-0.007502893935269012,1.9775241745568994,0.170839534623194,0.1724338662441693,-0.003687433652863892,-0.002387163196610226,35.26220614827319
GLP,32222;32242;32233;32214;32237,FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.0449066739215131,0.0449300121091897,0.0016670134054546024,0.0017763694848526995,-6.560000000016508,0.0444865865433389,0.0440638319437154,0.0012469260272804025,0.0009101893193784044,27.005347593588603
GLP,32222;32242;32233;32214;32237,SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.0483953995764485,0.0483220509866084,0.0017483636596418994,0.0012482596380050948,28.604118993141057,0.0474858770624319,0.0474518699889605,0.0008388411456253034,0.0003780786403571948,54.9284578696529
Centre,32245;32228;32262;32236;32239,SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.1085319079701958,0.1153133185035833,-0.023499554574005516,-0.016117352409292615,31.41422166732839,0.1235710361088403,0.1267110225593527,-0.008460426435361018,-0.004719648353523204,44.21500630515429
Centre,32245;32228;32262;32236;32239,Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.1115271976571182,0.1193734963539071,-0.023856295442771888,-0.015696598225756198,34.203538586239134,0.1274458420684789,0.1305918297672516,-0.007937651031411197,-0.004478264812411703,43.58198924732102
Centre,32245;32228;32262;32236;32239,GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.1486155787070294,0.1526024079675136,-0.013344775713336698,-0.008711812056898305,34.71743366813003,0.1556823819354257,0.1566065741674092,-0.006277972484940414,-0.004707645857002701,25.013276686137264
