target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
GLP,,Green,0.1353834930998901,0.1356608841305574,0.00027739103066731774,0.1417601527784309,0.1356648849627305,0.006376659678540814,4.000832173084445e-06,99.93725818257874,0.1385374824630075,0.1356522156608491,0.003153989363117421,-8.66846970831725e-06,99.7251585623691
GLP,,GLP,0.1619603544203661,0.1622970911282673,0.00033673670790118626,0.2035936808189088,0.1623004251550782,0.0416333263985427,3.3340268109083304e-06,99.99199192786328,0.1794099839433006,0.1622957575175429,0.017449629522934496,-1.3336107243799855e-06,99.99235736940646
GLP,,Centre,0.1745269682760579,0.1742049012861232,-0.0003220669899346995,0.1668727095235754,0.1742082353129341,-0.00765425875248249,3.3340268109083304e-06,99.9564421987978,0.170839534623194,0.1742082353129341,-0.003687433652863892,3.3340268109083304e-06,99.90958408679927
GLP,,FDP,0.0432396605160585,0.0433616858973378,0.00012202538127929763,0.0449066739215131,0.0433623527027,0.0016670134054546024,6.668053622038705e-07,99.95999999999869,0.0444865865433389,0.0433636863134244,0.0012469260272804025,2.0004160866046727e-06,99.83957219250867
GLP,,SVP,0.0466470359168066,0.0469784381818112,0.00033140226500460307,0.0483953995764485,0.0469737705442759,0.0017483636596418994,-4.667637535302194e-06,99.73302822272923,0.0474858770624319,0.046977771376449,0.0008388411456253034,-6.668053622038705e-07,99.92050874403559
Centre,,SP,0.1320314625442013,0.1315693664282093,-0.0004620961159920167,0.1085319079701958,0.1314059991144748,-0.023499554574005516,-0.0001633673137345082,99.30480676465578,0.1235710361088403,0.131506686724164,-0.008460426435361018,-6.267970404530421e-05,99.25914249684473
Centre,,Green,0.1353834930998901,0.1356608841305574,0.00027739103066731774,0.1115271976571182,0.1354735118237836,-0.023856295442771888,-0.00018737230677381977,99.2145791989234,0.1274458420684789,0.1355108529240664,-0.007937651031411197,-0.00015003120649101365,98.10987903225647
Centre,,GLP,0.1619603544203661,0.1622970911282673,0.00033673670790118626,0.1486155787070294,0.1620063639903559,-0.013344775713336698,-0.00029072713791139515,97.82141607954607,0.1556823819354257,0.1621483935325003,-0.006277972484940414,-0.00014869759576699448,97.6314391927698
Centre,,Centre,0.1745269682760579,0.1742049012861232,-0.0003220669899346995,0.2221162001696141,0.1748070265281734,0.04758923189355618,0.0006021252420501944,98.73474477714417,0.1927880999247704,0.1745796458996696,0.018261131648712486,0.00037474461354639055,97.94785656904888
Centre,,FDP,0.0432396605160585,0.0433616858973378,0.00012202538127929763,0.045180730925371,0.0434050282458797,0.0019410704093124967,4.33423485418985e-05,97.76709034695708,0.0442011938483253,0.0433676871455975,0.0009615333322667979,6.001248259702996e-06,99.37586685158848
