target_party,observed_party,mini_baseline,aug_baseline,delta_attack,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,crw_drift_ANSWER-CORR_α1.0,delta_crw_ANSWER-CORR_α1.0,reduction_ANSWER-CORR_α1.0,crw_drift_ANSWER-CORR_α1.1,delta_crw_ANSWER-CORR_α1.1,reduction_ANSWER-CORR_α1.1,crw_drift_ANSWER-CORR_α1.5,delta_crw_ANSWER-CORR_α1.5,reduction_ANSWER-CORR_α1.5,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
Green,FDP,0.0442098623180326,0.043122969577676,-0.0010868927403566014,-0.0002080432730007034,-0.0012522604701777004,-15.214723926377793,-7.868303273740607e-05,-0.0015263174740346996,-40.42944785277764,-4.800998607699947e-05,-0.0012809331007517036,-17.852760736210183,-0.00011135649548429938,-0.0013156069795851044,-21.042944785284302,-0.000101354415051505,-0.0014923104005632945,-37.30061349693794,-0.0003727441974597026,-0.001444300414486198,-32.88343558282796
Green,SVP,0.0487107985127603,0.0492535780775766,0.0005427795648162981,0.00014736398504230225,0.0006101269063966963,-12.407862407861959,5.5344845061103265e-05,0.0007674929718717999,-41.40049140051087,0.00036140850630279886,0.0003907479422387006,28.009828009838966,0.0004894351358417023,0.00036607614383810105,32.555282555267475,0.0003414043454373003,0.00042608862643440243,21.498771498773962,0.0004754322232360039,0.0007821626898396952,-44.10319410319281
GLP,SP,0.1250273390198449,0.1262562613023464,0.0012289222825015156,-0.001619003419376694,0.0018510516854168962,-50.62398263696659,-0.00118824715540769,0.0009815374931319981,20.130222463373094,-0.0007508228378161896,0.0015469884402611045,-25.881714595666196,-0.0010235462309484966,0.0011162321762918925,9.169831796054527,0.0006641381407334057,5.467803969910756e-05,95.55073250134187,-0.0021897888094041945,0.0005987912152399105,51.27509495384448
GLP,Green,0.1261515728604857,0.1415147684051487,0.015363195544663005,0.0004114189084651887,0.015131814083985617,1.5060763888914197,-0.0004260886264352004,0.016167362811453895,-5.234374999999569,0.0002600540912509053,0.015337190135537193,0.16927083333809767,0.0005047716591707885,0.01507980326573602,1.8446180555544256,-0.0005201081825020881,0.01579395180863219,-2.803819444443789,-0.00016670134054588837,0.015569238401576702,-1.3411458333307147
GLP,GLP,0.1451068488912262,0.1767847712323927,0.03167792234116651,-0.0008228378169325978,0.03149121683975592,0.5893868272034974,-0.0002807250574786979,0.03110847056186361,1.7976298229725685,0.00017803703170241048,0.03154056043655759,0.4336203085844814,0.00017136897808081586,0.03225537578481649,-1.8228892584270406,-0.00024938520545589316,0.033109553453772006,-4.519333992889574,9.535316679210037e-05,0.031893300473151504,-0.6798998042403248
GLP,Centre,0.1809242989208312,0.1709028811326002,-0.010021417788231013,0.0007774950523037893,-0.00995673766809968,0.6454188568736474,0.0006581368924735986,-0.010198121209210403,-1.7632577017885342,-0.00010468844186201087,-0.009786702300743688,2.342138532164284,-0.00012802662953900756,-0.00974402675756339,2.7679819016565355,0.00015469884402630196,-0.009764697723791405,2.561714019558148,0.0003454051776095868,-0.009686014691054984,3.3468627320369926
GLP,FDP,0.0442098623180326,0.048767476968547,0.004557614650514394,-0.0002080432730007034,0.0045942889454345034,-0.804681784932626,-7.868303273740607e-05,0.004249550573186406,6.759326993413506,-4.800998607699947e-05,0.004390913309968797,3.6576444769586214,-0.00011135649548429938,0.004392246920693198,3.62838332114217,-0.000101354415051505,0.004220877942612403,7.388441843453908,-0.0003727441974597026,0.004546278959357303,0.2487198244329747
GLP,SVP,0.0487107985127603,0.0487414715594207,3.067304666039966e-05,0.00014736398504230225,4.000832173079588e-05,-30.434782608173382,5.5344845061103265e-05,0.0002653885341484946,-765.2173913037586,0.00036140850630279886,-0.0002627213126999012,-756.5217391302921,0.0004894351358417023,-0.0003113981041391045,-915.2173913037925,0.0003414043454373003,-0.00021604493734710128,-604.347826086756,0.0004754322232360039,0.00028605950037589867,-832.6086956507484
Centre,SP,0.1250273390198449,0.124187831068858,-0.0008395079509868897,-0.001619003419376694,9.268594534300734e-05,88.95949166007901,-0.00118824715540769,0.00016536772982039816,80.3018268467858,-0.0007508228378161896,-0.0004300894586082016,48.76886417780716,-0.0010235462309484966,-0.00022538021241859385,73.15329626674215,0.0006641381407334057,-0.0020764318978341023,-147.33915806195017,-0.0021897888094041945,-0.0003940819690499975,53.05798252574838
Centre,Green,0.1261515728604857,0.1217986674561637,-0.004352905404321997,0.0004114189084651887,-0.004692309333672096,-7.797181372540396,-0.0004260886264352004,-0.0038307968057322006,11.994485294153067,0.0002600540912509053,-0.004478931617774504,-2.895220588239189,0.0005047716591707885,-0.004739652514386586,-8.8848039215506,-0.0005201081825020881,-0.003611417841575315,17.034313725505246,-0.00016670134054588837,-0.004202207392468113,3.4620098039405023
