ID_question,_category,category,rapide,question_text,jaccard_mean,spearman_mean,kendall_mean,impact,composite_rank,combined_var,voter_nan_pct,candidate_nan_pct
32281,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Social services""?",0.831095193715094,0.9887599753152642,0.9506556931175012,0.168904806284906,71.33333333333333,660057.0545620052,0.4332901243458639,0.0
32282,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Education and research""?",0.829480474451056,0.9927779517920264,0.9601559110432392,0.170519525548944,73.0,154370.36766998115,0.3820634692015939,0.0
32283,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Agriculture""?",0.8108900914565104,0.984198566604808,0.938912160015542,0.1891099085434896,67.33333333333333,384375.46674423176,0.4458687406980652,0.0
32284,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Public transport""?",0.8214587485511621,0.9903968140297342,0.9546256118033792,0.1785412514488379,71.0,300739.0720298119,0.4091651063421191,0.0
32285,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.8166623093314764,0.9843362077793716,0.9401241774723442,0.1833376906685235,68.66666666666667,642385.113882908,0.4230399923184022,0.0
32286,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Public security""?",0.8617639418611723,0.9907930354518666,0.9590761413070064,0.1382360581388276,74.33333333333333,236478.96236944824,0.4794277209659609,0.0
32287,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""National defence""?",0.8001420148866324,0.9789469980444864,0.9294210317503026,0.1998579851133676,63.333333333333336,896301.106207087,0.4373229631763407,0.0
32288,Federal budget,11464,0,"Should the federal government spend more or less in the area of ""Development assistance""?",0.8221899016615022,0.9858989477121248,0.9467797420432724,0.1778100983384978,70.0,712213.7807880625,0.4619280810408565,0.0
32236,Finances & taxes,11456,1,Do you support tax cuts at the federal level over the next four years?,0.5683821247961075,0.8791074235237428,0.7927659338957753,0.4316178752038925,9.333333333333334,2425423.279704725,0.0656296509674012,0.0
32237,Finances & taxes,11456,0,Should married couples be taxed separately (individual taxation)? [BePart question],0.7812261851302555,0.9336508396627344,0.8772704568269477,0.2187738148697444,43.333333333333336,1170566.9307336316,0.3799510298142013,0.0
32238,Finances & taxes,11456,1,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],0.6064202309973106,0.8728619239422054,0.7854161190342965,0.3935797690026894,9.333333333333334,3127880.8308259384,0.0407604781794613,0.0
32239,Finances & taxes,11456,0,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,0.731871711448921,0.9513325555366208,0.8882348133055981,0.2681282885510789,47.333333333333336,2093703.37731399,0.4028998031590571,0.0
32269,Foreign trade & foreign policy,11462,0,Are you in favor of closer relations with the European Union (EU)?,0.7864160756477635,0.96166053119909,0.9062948205386536,0.2135839243522365,53.333333333333336,1892591.7166328204,0.3697729127658553,0.0
32270,Foreign trade & foreign policy,11462,1,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.5706584696744849,0.8832690861194576,0.7742425685628702,0.4293415303255151,8.0,2212982.4811714143,0.1191127754572951,0.0
