ID1,ID2,Distance,cat1,cat2
32244,32255,1.1616128104057488,Economy & labour,Nature conservation
32230,32280,1.1617916865669513,Immigration & integration,Values
32238,32285,1.161998607193426,Finances & taxes,Federal budget
32238,32271,1.1623729765218962,Finances & taxes,Foreign trade & foreign policy
32234,32287,1.1630525501901028,Society & ethics,Federal budget
32219,32241,1.1637368612625607,Welfare state & family,Economy & labour
32230,32285,1.164299359249592,Immigration & integration,Federal budget
32218,32231,1.1644134177164749,Welfare state & family,Immigration & integration
32219,32255,1.1646863633212843,Welfare state & family,Nature conservation
32258,32278,1.1649194338426658,"Democracy, Media & Digitalization",Values
32229,32231,1.1653071339619272,Immigration & integration,Immigration & integration
32247,32276,1.1659158618537697,Energy & transport,Values
32256,32257,1.166964390582269,Nature conservation,Nature conservation
32241,32276,1.167055663331743,Economy & labour,Values
32271,32285,1.16810541690909,Foreign trade & foreign policy,Federal budget
32244,32256,1.1685644616547517,Economy & labour,Nature conservation
32260,32271,1.169105875316986,"Democracy, Media & Digitalization",Foreign trade & foreign policy
32255,32281,1.16979296704269,Nature conservation,Federal budget
32230,32276,1.1701769032453022,Immigration & integration,Values
32227,32228,1.1712612981525161,Education,Immigration & integration
32238,32241,1.1716704656424668,Finances & taxes,Economy & labour
32241,32280,1.1719172863568434,Economy & labour,Values
32281,32284,1.1725585356433905,Federal budget,Federal budget
32219,32230,1.1731498105179015,Welfare state & family,Immigration & integration
32219,32285,1.1733287211831902,Welfare state & family,Federal budget
32262,32276,1.1738072669080677,"Democracy, Media & Digitalization",Values
32244,32276,1.1738761375225686,Economy & labour,Values
32262,32285,1.1743382145380616,"Democracy, Media & Digitalization",Federal budget
32228,32246,1.1743579158749053,Immigration & integration,Energy & transport
32218,32280,1.1744801857311555,Welfare state & family,Values
32270,32275,1.1745314062932974,Foreign trade & foreign policy,Values
32230,32272,1.1761360438086492,Immigration & integration,Foreign trade & foreign policy
32255,32257,1.17619581237874,Nature conservation,Nature conservation
32222,32281,1.1772423694454,Health,Federal budget
32230,32262,1.1773447128808494,Immigration & integration,"Democracy, Media & Digitalization"
32230,32287,1.1776210786972925,Immigration & integration,Federal budget
32218,32240,1.177626299647109,Welfare state & family,Economy & labour
32267,32274,1.1777104561655696,Security & military,Values
32244,32275,1.1782602430328073,Economy & labour,Values
32272,32279,1.1785336888273608,Foreign trade & foreign policy,Values
32230,32244,1.1789347205529954,Immigration & integration,Economy & labour
32218,32271,1.179050378783891,Welfare state & family,Foreign trade & foreign policy
32231,32244,1.1790694936255737,Immigration & integration,Economy & labour
32246,32288,1.1790720650584787,Energy & transport,Federal budget
32265,32269,1.1790993430215417,Security & military,Foreign trade & foreign policy
32234,32275,1.1795208753361754,Society & ethics,Values
32276,32287,1.1798228373970656,Values,Federal budget
32246,32262,1.1798720479538687,Energy & transport,"Democracy, Media & Digitalization"
32231,32285,1.1804366420040497,Immigration & integration,Federal budget
32228,32268,1.1809033793550667,Immigration & integration,Security & military
32240,32241,1.1815578517462992,Economy & labour,Economy & labour
32228,32280,1.1816616900172252,Immigration & integration,Values
32262,32279,1.1816882392016395,"Democracy, Media & Digitalization",Values
32269,32288,1.1818463662413927,Foreign trade & foreign policy,Federal budget
32241,32281,1.1823488109076852,Economy & labour,Federal budget
32264,32286,1.182821395792504,Security & military,Federal budget
32279,32280,1.182890278806695,Values,Values
32227,32234,1.1829610246558495,Education,Society & ethics
32279,32287,1.1830049078434728,Values,Federal budget
32230,32271,1.1830682149148968,Immigration & integration,Foreign trade & foreign policy
32234,32269,1.183235941595192,Society & ethics,Foreign trade & foreign policy
32218,32279,1.183245797628223,Welfare state & family,Values
32234,32245,1.1844651285663343,Society & ethics,Energy & transport
32245,32281,1.1850169680570888,Energy & transport,Federal budget
32227,32279,1.185149129205967,Education,Values
32218,32288,1.185473473740241,Welfare state & family,Federal budget
32262,32288,1.1856865805672052,"Democracy, Media & Digitalization",Federal budget
32240,32288,1.1868681136970873,Economy & labour,Federal budget
32246,32249,1.1882023884524915,Energy & transport,Energy & transport
32235,32277,1.1886107701049544,Society & ethics,Values
32231,32280,1.1889150530419272,Immigration & integration,Values
32264,32281,1.1892448846120827,Security & military,Federal budget
32228,32275,1.189508195041402,Immigration & integration,Values
32227,32280,1.1898347918482233,Education,Values
32245,32279,1.1909380141062467,Energy & transport,Values
32280,32287,1.1911478914786628,Values,Federal budget
32228,32286,1.1912081291212462,Immigration & integration,Federal budget
32247,32281,1.1916188795061162,Energy & transport,Federal budget
32229,32269,1.1916628930141495,Immigration & integration,Foreign trade & foreign policy
32230,32249,1.1917887730806718,Immigration & integration,Energy & transport
32269,32279,1.1923463636932012,Foreign trade & foreign policy,Values
32219,32287,1.1925491987547372,Welfare state & family,Federal budget
32219,32279,1.192711518264188,Welfare state & family,Values
32234,32271,1.192838378965072,Society & ethics,Foreign trade & foreign policy
32262,32280,1.1929345516990453,"Democracy, Media & Digitalization",Values
32244,32254,1.1929530667890826,Economy & labour,Nature conservation
32257,32281,1.1929915538245048,Nature conservation,Federal budget
32218,32230,1.1931501012515553,Welfare state & family,Immigration & integration
32285,32288,1.1934495510211909,Federal budget,Federal budget
32238,32240,1.1935232980703085,Finances & taxes,Economy & labour
32218,32287,1.1937038046510742,Welfare state & family,Federal budget
32228,32264,1.1941580633812583,Immigration & integration,Security & military
32240,32257,1.1942102241483423,Economy & labour,Nature conservation
32246,32273,1.194632279594586,Energy & transport,Foreign trade & foreign policy
32228,32245,1.1954665628759915,Immigration & integration,Energy & transport
32241,32257,1.1955186586147089,Economy & labour,Nature conservation
32275,32287,1.1965217184481813,Values,Federal budget
32253,32271,1.196639406066776,Nature conservation,Foreign trade & foreign policy
32282,32284,1.1973420659233582,Federal budget,Federal budget
32255,32285,1.1973577195335228,Nature conservation,Federal budget
32281,32282,1.1976882079170805,Federal budget,Federal budget
32246,32255,1.1979848702988491,Energy & transport,Nature conservation
32269,32281,1.198249832430961,Foreign trade & foreign policy,Federal budget
32231,32271,1.1987241996784608,Immigration & integration,Foreign trade & foreign policy
32231,32240,1.1993900798303552,Immigration & integration,Economy & labour
32251,32280,1.199763877892644,Energy & transport,Values
32230,32275,1.1997756995259554,Immigration & integration,Values
32246,32279,1.2000744365799498,Energy & transport,Values
32231,32264,1.2015109206215835,Immigration & integration,Security & military
32218,32262,1.2016845175684938,Welfare state & family,"Democracy, Media & Digitalization"
32241,32244,1.2017266425683333,Economy & labour,Economy & labour
32257,32276,1.2018086983184701,Nature conservation,Values
32262,32287,1.202144651275505,"Democracy, Media & Digitalization",Federal budget
32230,32245,1.2024268034950416,Immigration & integration,Energy & transport
32215,32228,1.20248793623236,Welfare state & family,Immigration & integration
32247,32271,1.2026901827570786,Energy & transport,Foreign trade & foreign policy
32264,32285,1.202900871898973,Security & military,Federal budget
32219,32249,1.2035899752922217,Welfare state & family,Energy & transport
32249,32288,1.2038633160298953,Energy & transport,Federal budget
32269,32280,1.204075254581763,Foreign trade & foreign policy,Values
32234,32247,1.2040796250896082,Society & ethics,Energy & transport
32219,32246,1.2049390097800023,Welfare state & family,Energy & transport
32219,32262,1.2049927245144227,Welfare state & family,"Democracy, Media & Digitalization"
32249,32285,1.2056394751185007,Energy & transport,Federal budget
32254,32256,1.205729215760191,Nature conservation,Nature conservation
32234,32277,1.2058176395894928,Society & ethics,Values
32234,32264,1.2058790738557923,Society & ethics,Security & military
32229,32234,1.206022873390888,Immigration & integration,Society & ethics
32230,32269,1.206100127420624,Immigration & integration,Foreign trade & foreign policy
32231,32268,1.206541753331233,Immigration & integration,Security & military
32231,32246,1.2066253744826834,Immigration & integration,Energy & transport
32223,32273,1.20664175232171,Health,Foreign trade & foreign policy
32230,32264,1.2067770146107355,Immigration & integration,Security & military
32253,32285,1.2074495313324367,Nature conservation,Federal budget
32215,32222,1.2079044125146896,Welfare state & family,Health
32244,32257,1.208055168419487,Economy & labour,Nature conservation
32249,32275,1.2082098055854473,Energy & transport,Values
32275,32279,1.2089167358035229,Values,Values
32245,32271,1.2089839912932483,Energy & transport,Foreign trade & foreign policy
32227,32230,1.2093152891790775,Education,Immigration & integration
32230,32246,1.2094927610388595,Immigration & integration,Energy & transport
32234,32238,1.2098125333477219,Society & ethics,Finances & taxes
32255,32276,1.2103253804963359,Nature conservation,Values
32234,32240,1.210982139790138,Society & ethics,Economy & labour
32240,32255,1.2110021203224834,Economy & labour,Nature conservation
32271,32287,1.2116258029308078,Foreign trade & foreign policy,Federal budget
32255,32288,1.2121532274637392,Nature conservation,Federal budget
32285,32286,1.212437840243428,Federal budget,Federal budget
32238,32246,1.2126947212031431,Finances & taxes,Energy & transport
32260,32280,1.2127540760308528,"Democracy, Media & Digitalization",Values
32238,32245,1.212898728055916,Finances & taxes,Energy & transport
32228,32238,1.212947394628597,Immigration & integration,Finances & taxes
32261,32273,1.2129648617591098,"Democracy, Media & Digitalization",Foreign trade & foreign policy
32254,32281,1.2134699305097667,Nature conservation,Federal budget
32229,32268,1.2136037604417926,Immigration & integration,Security & military
32239,32281,1.2137863293040756,Finances & taxes,Federal budget
32269,32276,1.2141314161280095,Foreign trade & foreign policy,Values
32273,32277,1.2141343571575502,Foreign trade & foreign policy,Values
32228,32240,1.2141375582582647,Immigration & integration,Economy & labour
32219,32284,1.2150437368273959,Welfare state & family,Federal budget
32272,32288,1.215047804268322,Foreign trade & foreign policy,Federal budget
32249,32287,1.2154720861229174,Energy & transport,Federal budget
32215,32231,1.2158943641007796,Welfare state & family,Immigration & integration
32229,32279,1.2162513552544578,Immigration & integration,Values
32257,32275,1.2163249159784184,Nature conservation,Values
32269,32277,1.2167180391515142,Foreign trade & foreign policy,Values
32257,32260,1.2170930414375492,Nature conservation,"Democracy, Media & Digitalization"
32280,32284,1.2171632986969478,Values,Federal budget
32249,32276,1.2173904451408026,Energy & transport,Values
32236,32247,1.2177664104909318,Finances & taxes,Energy & transport
32245,32249,1.218008548645312,Energy & transport,Energy & transport
32287,32288,1.2180162855443606,Federal budget,Federal budget
32218,32285,1.2180375317558216,Welfare state & family,Federal budget
32228,32272,1.2181133165995968,Immigration & integration,Foreign trade & foreign policy
32244,32287,1.2182700251243648,Economy & labour,Federal budget
32262,32269,1.2190729134177836,"Democracy, Media & Digitalization",Foreign trade & foreign policy
32215,32234,1.2192624561602043,Welfare state & family,Society & ethics
